Sector Code,Sector,Current AI Use,Current AI Use SE,Expected AI Use,Expected AI Use SE,Expected Adoption Gap,Observation Date
11,"Agriculture, Forestry, Fishing and Hunting",,,11.5,4.31,,2026-07-30
21,"Mining, Quarrying, and Oil and Gas Extraction",7.9,3.01,7.9,3.01,0.0,2026-07-30
22,Utilities,17.1,5.28,19.7,6.2,2.599999999999998,2026-07-30
23,Construction,13.6,1.0,14.8,0.78,1.200000000000001,2026-07-30
31,Manufacturing,20.3,0.61,23.1,0.89,2.8000000000000007,2026-07-30
42,Wholesale Trade,19.3,1.1,22.3,1.06,3.0,2026-07-30
44,Retail Trade,15.5,0.74,18.8,0.89,3.3000000000000007,2026-07-30
48,Transportation and Warehousing,10.7,1.44,12.7,1.2,2.0,2026-07-30
51,Information,41.9,3.39,44.1,3.57,2.200000000000003,2026-07-30
52,Finance and Insurance,35.5,2.21,42.8,2.09,7.299999999999997,2026-07-30
53,Real Estate and Rental and Leasing,25.6,1.53,29.3,1.3,3.6999999999999993,2026-07-30
54,"Professional, Scientific, and Technical Services",40.0,1.43,42.9,1.37,2.8999999999999986,2026-07-30
55,Management of Companies and Enterprises,33.5,14.17,33.5,14.17,0.0,2026-07-30
56,Administrative and Support and Waste Management,20.9,1.95,24.0,1.85,3.1000000000000014,2026-07-30
61,Educational Services,36.2,3.01,37.7,2.66,1.5,2026-07-30
62,Health Care and Social Assistance,22.0,0.8,26.0,1.03,4.0,2026-07-30
71,"Arts, Entertainment, and Recreation",18.2,2.19,21.6,2.57,3.400000000000002,2026-07-30
72,Accommodation and Food Services,10.0,0.51,11.6,0.48,1.5999999999999996,2026-07-30
81,Other Services,11.6,1.51,13.1,1.36,1.5,2026-07-30
XX,Multi-unit Companies,32.7,2.04,36.8,2.42,4.099999999999994,2026-07-30
