Sector Code,Sector,Current AI Use,Current AI Use SE,Expected AI Use,Expected AI Use SE,Expected Adoption Gap,Observation Date
11,"Agriculture, Forestry, Fishing and Hunting",6.2,2.46,8.6,3.52,2.3999999999999995,2026-09-24
21,"Mining, Quarrying, and Oil and Gas Extraction",8.0,3.51,8.2,2.63,0.1999999999999993,2026-09-24
22,Utilities,11.8,3.15,14.2,3.61,2.3999999999999986,2026-09-24
23,Construction,15.4,0.92,17.7,0.94,2.299999999999999,2026-09-24
31,Manufacturing,19.5,1.07,24.0,1.09,4.5,2026-09-24
42,Wholesale Trade,19.2,1.19,24.7,1.0,5.5,2026-09-24
44,Retail Trade,16.5,0.88,19.6,0.74,3.1000000000000014,2026-09-24
48,Transportation and Warehousing,13.0,1.43,16.3,1.85,3.3000000000000007,2026-09-24
51,Information,49.0,1.99,52.1,1.63,3.1000000000000014,2026-09-24
52,Finance and Insurance,41.0,1.52,45.9,1.76,4.899999999999999,2026-09-24
53,Real Estate and Rental and Leasing,29.6,1.3,35.2,1.43,5.600000000000001,2026-09-24
54,"Professional, Scientific, and Technical Services",43.9,0.7,48.5,0.79,4.600000000000001,2026-09-24
55,Management of Companies and Enterprises,,,26.9,5.76,,2026-09-24
56,Administrative and Support and Waste Management,20.8,1.9,24.2,1.4,3.3999999999999986,2026-09-24
61,Educational Services,30.0,2.15,33.8,2.1,3.799999999999997,2026-09-24
62,Health Care and Social Assistance,25.5,1.08,30.8,0.77,5.300000000000001,2026-09-24
71,"Arts, Entertainment, and Recreation",22.6,2.04,25.6,1.72,3.0,2026-09-24
72,Accommodation and Food Services,10.1,0.43,14.3,0.59,4.200000000000001,2026-09-24
81,Other Services,15.0,0.81,16.7,0.94,1.6999999999999993,2026-09-24
XX,Multi-unit Companies,35.6,1.52,41.5,1.51,5.899999999999999,2026-09-24
