Date,Observation Frequency,Capital Stress,Capital Cash Flow Strain,Capital Debt Capacity Stress,Capital Committed Burden,Capital Contingent Exposure,FCF Margin,Reinvestment Ratio,Positive EBITDA Net Debt/EBITDA,Negative EBITDA Net Debt/Revenue,Committed Burden Ratio,Contingent Burden Ratio,Capital Stress Version,Valid Components,Component Coverage,Cohort Companies,Target Cohort Size,Financial Companies,Commitment Companies,Contingent Companies,Latest Financial Filing Date,Latest Commitment Filing Date,Cohort Tickers,Commitment Tickers,Contingent Tickers,Backfill Status
2014-12-31,Historical Annual,-61.5023826724061,-43.589101316249604,-93.65776229867566,-52.61951434000463,,0.1934066017631606,0.21683386215339176,-1.5641456250577401,,0.33026245928989195,,3.0,3,0.75,8,10,8,5,0,2014-12-19,2014-09-15,AMD;AMZN;ANET;META;MSFT;NVDA;ORCL;SMCI,AMZN;MSFT;NVDA;ORCL;SMCI,,Accepted
2015-12-31,Historical Annual,-58.76138052124376,-37.3525822352989,-92.37966418640184,-52.154942419556896,,0.17810119280224646,0.2400179833849978,-1.691244347520558,0.27972846441947563,0.3430684630322142,,3.0,3,0.75,9,10,9,4,1,2015-12-18,2015-07-31,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMZN;MSFT;NVDA;ORCL,ANET,Accepted
2016-12-31,Historical Annual,-61.00515732044554,-45.744483688007364,-91.08280841854773,-51.20112170446524,,0.21776351703583377,0.26921213268366717,-1.4855426063088655,0.13821532492725508,0.36909644444944667,,3.0,3,0.75,9,10,9,6,0,2016-12-19,2016-08-26,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMZN;ANET;MSFT;NVDA;ORCL;SMCI,,Accepted
2017-12-31,Historical Annual,-60.61067619597198,-44.79172367870282,-86.05636699367066,-55.22488638182558,,0.21314718549587808,0.2676538725194373,-0.9432700155463138,,0.2567775401868282,,3.0,3,0.75,9,10,9,6,0,2017-12-18,2017-08-02,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMZN;ANET;GOOG;MSFT;NVDA;ORCL,,Accepted
2018-12-31,Historical Annual,-49.99075058927427,-27.018504886165857,-78.39980034755615,-49.28878816048113,,0.17915535995783408,0.37500664448978377,-0.583493407400852,,0.4202644212877302,,3.0,3,0.75,9,10,9,7,0,2018-12-19,2018-08-03,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL,,Accepted
2019-12-31,Historical Annual,-53.06087705445953,-29.066982416769335,-83.19997725055337,-51.93885486207154,,0.18290472084744414,0.3635708104190883,-0.7918985656398472,,0.3489958880110951,,3.0,3,0.75,9,10,9,8,1,2019-12-20,2019-12-19,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL;SMCI,SMCI,Accepted
2020-12-31,Historical Annual,-48.40342958146203,-25.19133910837121,-78.37671591819766,-51.745140163479086,-38.18871213571684,0.1731544842861735,0.37441738658117235,-0.582595245967298,,0.35429414056837194,0.019546576905719384,3.0,4,1.0,9,10,9,8,2,2020-12-11,2020-08-31,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL;SMCI,AMD;SMCI,Accepted
2021-12-31,Historical Annual,-44.04950183563717,-18.7500522665202,-69.37688942500368,-48.24279508028207,,0.16191092839220575,0.4089938082941338,-0.28277853154789984,,0.4477122110552133,,3.0,3,0.75,9,10,9,7,1,2021-12-10,2021-08-27,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL,AMD,Accepted
2022-12-31,Historical Annual,-30.19717533318338,6.47236216368097,-61.12754231847759,-41.091407008969234,,0.11631831588756775,0.5182512971834232,-0.06643270143606027,,0.6265790142084514,,3.0,3,0.75,9,10,9,8,1,2022-12-13,2022-09-13,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL;SMCI,AMD,Accepted
2023-12-31,Historical Annual,-43.844953019275536,-22.59403680422244,-68.74518462916026,-44.34567622609137,,0.1713589640162031,0.3998499536431354,-0.26466225322718084,,0.5469488182947563,,3.0,3,0.75,9,10,9,8,0,2023-12-12,2023-08-28,AMD;AMZN;ANET;GOOG;META;MSFT;NVDA;ORCL;SMCI,AMD;AMZN;ANET;GOOG;MSFT;NVDA;ORCL;SMCI,,Accepted
