IXP Name,Location,State,State Assignment,Physical Locations,Reported Members,Observation Date,Source,Source URL,Evidence Class,Evidence Grade,Boundary
Montgomery Internet Exchange - MGMix Montgomery,Montgomery,AL,city_crosswalk,1,19,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Ninja-IX Phoenix,Phoenix,AZ,city_crosswalk,13,59,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DE-CIX Phoenix,Phoenix,AZ,city_crosswalk,7,36,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Digital Realty Phoenix Internet Exchange,Phoenix,AZ,city_crosswalk,1,6,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
48 IX,Phoenix,AZ,city_crosswalk,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Tucson Internet Exchange - TUSIX,Tucson,AZ,city_crosswalk,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange San Jose (Bay Area) - Equinix San Jose,San Jose,CA,city_crosswalk,5,182,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Experimental Virtual Internet Exchange - EVIX,Fremont,CA,city_crosswalk,2,157,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Fremont Cabal Internet Exchange - FCIX,Fremont,CA,city_crosswalk,2,144,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Fremont Metro Internet Exchange - FREMIX,Fremont,CA,city_crosswalk,1,109,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
San Francisco Metropolitan Internet Exchange - SFMIX,San Francisco,CA,city_crosswalk,20,91,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Los Angeles - Equinix Los Angeles,Los Angeles,CA,city_crosswalk,3,83,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Palo Alto - Equinix Palo Alto,Palo Alto,CA,city_crosswalk,3,69,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Fremont,Fremont,CA,city_crosswalk,0,52,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Los Angeles,Los Angeles,CA,city_crosswalk,0,33,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Los Angeles,Los Angeles,CA,city_crosswalk,14,25,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Lambda Internet Exchange - Lambda-IX,Fremont,CA,city_crosswalk,1,22,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
New York International Internet eXchange - Los Angeles - NYIIX Los Angeles,Los Angeles,CA,city_crosswalk,2,21,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Bay Area,San Francisco,CA,city_crosswalk,13,18,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Zero Internet eXchange San Jose,San Jose,CA,city_crosswalk,3,15,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
IXP US FRE,Fremont,CA,city_crosswalk,0,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
