Award Recipient,State / Territory,Total Project Cost,Federal Award,Disclosed Route Miles,Program,Observation Date,Source,Source URL,Evidence Grade,Boundary
QSH Parent Holdco LLC,AK,150799819.89,88896493.83,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
California Department of Technology,CA,187586206.04,73000000.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Peninsula Fiber Network LLC,MI,87509579.61,61256705.72,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Zayo LLC,TX,91887375.0,55132425.0,649.0,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
ENMR Telephone Cooperative,NM,102348503.0,49858624.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
State of Nevada,NV,87094918.76,43547459.38,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Kansas Department of Commerce,KS,69730044.0,42514219.13,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
MidAmerican Energy Company,IA,75693762.48,37839311.86,700.0,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Hawaiian Telcom Inc.,HI,87466529.0,37356955.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Omaha Tribe of Nebraska,NE,36374797.0,36374797.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Pima County,AZ,43283954.0,30281277.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
State of Maine,ME,53353132.12,30016472.13,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Horizon Telcom Inc.,OH,48275817.0,27540553.83,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Missouri Network Alliance LLC,MO,54037925.53,26478583.51,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Troy Cablevision Inc.,AL,52610443.35,26299960.63,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Appalachian Power Company,WV,50208602.46,25054092.63,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
County of Cumberland,NJ,34538131.62,24176692.13,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Zayo LLC,OR,48119568.0,24059784.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
DCN LLC,ND,43801276.61,19710574.47,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Baltimore Gas & Electric,MD,30889369.68,15438845.47,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Dairyland Power Cooperative,WI,30387913.86,14890077.79,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Commonwealth Edison Company,IL,83752765.2,14557740.21,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Development Authority of the North Country,NY,24450000.0,14547750.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Missouri Network Alliance LLC,OK,29688739.63,14547482.42,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Zayo LLC,TX,19554630.0,13688241.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
DoveTel Communications LLC dba SyncGlobal Telecom,GA,32246573.54,12234350.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Whidbey Telephone Company,WA,16831726.0,11782208.2,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Blackfoot Telephone Cooperative Inc.,MT,16795000.0,11756500.0,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Indiana Michigan Power Company Inc.,IN,23415007.82,11684088.9,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
MCNC,NC,18959598.0,11186162.82,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Liberty Communications of Puerto Rico LLC,PR,18986670.45,9303468.52,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Syringa Networks LLC,ID,10744863.41,6209732.74,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Concho Valley Electric Cooperative Inc.,TX,6688442.75,3276667.98,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
WANRack,FL,5738951.17,2812086.07,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
BIF IV Intrepid Opco LLC,CO,4631407.01,2710970.97,,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
County of Grafton,NH,,11969000.0,222.0,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Blue Ridge Advisory Services Group,TN,,20350934.4,155.0,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
Mid-Atlantic Broadband Communities Corporation,VA,,16393565.2,130.0,Enabling Middle Mile Broadband Infrastructure Program,2026-08-05,NTIA BroadbandUSA award disclosures,https://broadbandusa.ntia.gov/funding-programs/enabling-middle-mile-broadband-infrastructure-program/awardees,A,Award-level financial ledger. Route miles are blank where an official project-mile figure was not retained; program totals are more complete than award-level mileage.
