State,County,Operator,Facility,Square Feet,Latitude,Longitude,Type
DC,District of Columbia,CoreSite,CoreSite DC1,,38.902887900000046,-77.0291491,point
NM,Bernalillo County,,Southwest Cyberport,,35.10329250000003,-106.5893487,point
OR,Josephine County,,FCR,,42.43788240000002,-123.3286299,point
CA,San Diego County,,SDSU Computer Room,,32.77502519999998,-117.070888,point
FL,Miami-Dade County,,NocRoom Miami IT Services,,25.7915453,-80.3177484,point
FL,Miami-Dade County,,NocRoom Miami IT Services,,25.646561700000035,-80.4234346,point
LA,East Baton Rouge Parish,,Center for Computation & Technology (CCT),,30.407446,-91.1725454,point
GA,Fulton County,Google,Google Fiber,,33.77156769999996,-84.3668585,point
CA,Alameda County,,Open Computing Facility,,37.86985210000005,-122.25982310000002,point
VA,Lynchburg city,,Lumos Networks,,37.415688,-79.1427063,point
OK,Oklahoma County,,Rack59 Data Center,,35.4672049,-97.6497453,point
NM,Bernalillo County,Oso Grande,Oso Grande,,35.0925015,-106.6536712,point
NV,Storey County,Switch,Switch Tahoe Reno - The Citadel Campus,,39.51409629999995,-119.4795921,point
WV,Morgan County,,Morgan Wireless,,39.6309851,-78.2253196,point
TX,Dallas County,,VIRTBIZ,,32.7825463,-96.7828145,point
ME,Cumberland County,FirstLight,FirstLight Data Center,,43.657838799999986,-70.26137850000002,point
IN,Tippecanoe County,,Learning GIS!,,40.42179,-86.9141546,point
IN,Tippecanoe County,,Agricultural and Biological Engineering,,40.4218543,-86.9165454,point
NC,Durham County,,Windstream Communications,,35.881397,-78.851552,point
NC,Durham County,,Level 3 Communications,,35.881364,-78.8515726,point
AZ,Maricopa County,,OptimumHQ,,33.38041490000001,-111.7526684,point
AZ,Maricopa County,,The Chatfield Group,,33.380601,-111.7528888,point
AZ,Maricopa County,,All About Serving Process Server,,33.31991570000004,-111.809686,point
AZ,Maricopa County,,Emailage,,33.302965,-111.8405386,point
AZ,Maricopa County,,Alliance Technology,,33.3799862,-111.728405,point
GA,Fulton County,Digital Realty,Atlanta ATL13,,33.7555186,-84.3914814,point
WI,Milwaukee County,,Data Holdings Data Center,,43.04394079999997,-87.9539794,point
CA,Santa Clara County,"Stack Infrastructure, Incorporated",STACK Infrastructure,,37.402744900000016,-121.891051,point
CA,Santa Clara County,"Stack Infrastructure, Incorporated",STACK Infrastructure,,37.4026341,-121.891057,point
CA,San Luis Obispo County,,Digital West Data Center,,35.25531619999998,-120.64151280000002,point
MI,Macomb County,Dennis Sampier,Chick-fil-A Hiring Center,,42.62794240000004,-82.98839390000002,point
CT,Capitol Planning Region,,Ergonomic Group,,41.7070776,-72.5898636,point
CA,Santa Clara County,CoreSite,San Jose Colocation Center,,37.3341181,-121.891646,point
TX,Montgomery County,,Stream Data Centers Houston,,30.178136500000015,-95.4860464,point
MD,Baltimore city,Crown Castle Fiber,Crown Castle Baltimore,,39.2877017,-76.6064893,point
MD,Baltimore city,AiNET,AiNET One Market Center,,39.2917583,-76.6203737,point
VA,Fairfax County,Lumen Technologies,Lumen McLean,,38.9208538,-77.2115713,point
WI,Milwaukee County,,TierPoint Milwaukee,,43.00937789999995,-87.9610618,point
NY,Erie County,,Frontier Science,,42.990201099999986,-78.8123836,point
NM,Bernalillo County,,505 Marquette,,35.088628899999954,-106.65264560000001,point
