Date,Corporate Bond Market Distress,Investment-Grade Bond Distress,High-Yield Bond Distress
2005-01-07,0.35,0.25,0.35
2005-01-14,0.27,0.26,0.33
2005-01-21,0.31,0.28,0.37
2005-01-28,0.31,0.28,0.35
2005-02-04,0.28,0.24,0.39
2005-02-11,0.25,0.23,0.32
2005-02-18,0.27,0.26,0.32
2005-02-25,0.27,0.25,0.29
2005-03-04,0.26,0.21,0.31
2005-03-11,0.29,0.25,0.27
2005-03-18,0.33,0.29,0.28
2005-03-25,0.3,0.29,0.28
2005-04-01,0.41,0.29,0.41
2005-04-08,0.37,0.3,0.36
2005-04-15,0.37,0.34,0.35
2005-04-22,0.42,0.37,0.43
2005-04-29,0.45,0.39,0.51
2005-05-06,0.46,0.35,0.54
2005-05-13,0.46,0.29,0.56
2005-05-20,0.46,0.31,0.53
2005-05-27,0.44,0.28,0.57
2005-06-03,0.4,0.25,0.51
2005-06-10,0.35,0.25,0.49
2005-06-17,0.4,0.24,0.43
2005-06-24,0.41,0.3,0.52
2005-07-01,0.36,0.26,0.48
2005-07-08,0.31,0.24,0.47
2005-07-15,0.33,0.29,0.42
2005-07-22,0.36,0.22,0.42
2005-07-29,0.34,0.22,0.37
2005-08-05,0.32,0.23,0.33
2005-08-12,0.31,0.21,0.35
2005-08-19,0.29,0.23,0.34
2005-08-26,0.33,0.22,0.37
2005-09-02,0.3,0.22,0.4
2005-09-09,0.32,0.29,0.38
2005-09-16,0.29,0.25,0.33
2005-09-23,0.3,0.23,0.37
2005-09-30,0.36,0.22,0.5
2005-10-07,0.29,0.2,0.3
2005-10-14,0.3,0.27,0.38
2005-10-21,0.4,0.26,0.41
2005-10-28,0.42,0.29,0.42
2005-11-04,0.4,0.29,0.41
2005-11-11,0.37,0.25,0.46
2005-11-18,0.38,0.24,0.48
2005-11-25,0.42,0.25,0.49
2005-12-02,0.44,0.3,0.5
2005-12-09,0.39,0.33,0.5
2005-12-16,0.38,0.33,0.41
2005-12-23,0.4,0.36,0.46
2005-12-30,0.45,0.37,0.52
