Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2020-01-01,Manufacturing — Real value-added output,Year-over-year change,-4.0,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Real value-added output,Year-over-year change,-16.0,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Real value-added output,Year-over-year change,-6.1,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Real value-added output,Year-over-year change,-3.5,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Real value-added output,Year-over-year change,-1.8,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Real value-added output,Year-over-year change,15.3,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2021-07-01,Manufacturing — Real value-added output,Year-over-year change,4.3,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Real value-added output,Year-over-year change,3.4,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Real value-added output,Year-over-year change,3.8,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Real value-added output,Year-over-year change,2.5,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Real value-added output,Year-over-year change,1.6,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Real value-added output,Year-over-year change,-0.2,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Real value-added output,Year-over-year change,-0.4,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Real value-added output,Year-over-year change,-0.6,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Real value-added output,Year-over-year change,-0.6,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Real value-added output,Year-over-year change,-0.1,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Real value-added output,Year-over-year change,-0.7,percent,PRS30006041,Manufacturing,Real value-added output,BLS Labor Productivity and Costs
