Date,Series,Value,Series ID,Metric,Unit,Source,Attribution boundary
2020-01-01,Labor productivity,104.679,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2020-04-01,Labor productivity,109.772,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2020-07-01,Labor productivity,111.491,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2020-10-01,Labor productivity,110.599,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2021-01-01,Labor productivity,111.394,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2021-04-01,Labor productivity,111.626,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2021-07-01,Labor productivity,110.948,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2021-10-01,Labor productivity,111.578,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2022-01-01,Labor productivity,110.176,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2022-04-01,Labor productivity,109.36,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2022-07-01,Labor productivity,109.423,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2022-10-01,Labor productivity,110.047,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2023-01-01,Labor productivity,110.298,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2023-04-01,Labor productivity,111.404,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2023-07-01,Labor productivity,112.786,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2023-10-01,Labor productivity,113.881,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2024-01-01,Labor productivity,113.947,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2024-04-01,Labor productivity,114.99,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2024-07-01,Labor productivity,116.035,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2024-10-01,Labor productivity,116.445,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2025-01-01,Labor productivity,116.187,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2025-04-01,Labor productivity,117.385,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2025-07-01,Labor productivity,118.884,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2025-10-01,Labor productivity,119.35,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2026-01-01,Labor productivity,119.437,PRS85006093,Index,Index 2017=100,BLS Labor Productivity and Costs,Output per hour for all workers in the nonfarm business sector.
2020-01-01,Real hourly compensation,105.387,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2020-04-01,Real hourly compensation,112.562,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
2020-07-01,Real hourly compensation,109.625,PRS85006153,Index,Index 2017=100,BLS Labor Productivity and Costs,Hourly compensation adjusted for consumer prices; economy-wide and not AI-specific.
