Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,Net Summer Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Pipeline Type,Technology Group,Date
2026,1.0,67087.0,"Aligned Digesters Co., LLC",IPP,Godinho Dairy Digester,CA,68837.0,GEN1,1.0,Other Waste Biomass,OBG,IC,Addition,Other renewables,2026-01-01
2026,1.0,67087.0,"Aligned Digesters Co., LLC",IPP,Godinho Dairy Digester,CA,68837.0,GEN2,1.0,Other Waste Biomass,OBG,IC,Addition,Other renewables,2026-01-01
2026,1.0,15399.0,Avangrid Power LLC,IPP,Pontotoc Wind,OK,67224.0,20101,147.5,Onshore Wind Turbine,WND,WT,Addition,Wind,2026-01-01
2026,1.0,67445.0,BT Smith Storage LLC,IPP,TE Smith Storage,TX,69329.0,SMITH,125.0,Batteries,MWH,BA,Addition,Battery storage,2026-01-01
2026,1.0,63965.0,"Badger Wind , LLC",IPP,"Badger Wind, LLC",ND,64342.0,5555,250.0,Onshore Wind Turbine,WND,WT,Addition,Wind,2026-01-01
2026,1.0,65654.0,Birch Creek Development,IPP,"Adelite Solar, LLC",MO,68927.0,ADELI,25.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-01-01
2026,1.0,65813.0,"CES Electron Farm One, LLC",IPP,Conflitti Solar,CA,66892.0,CNFTI,4.4,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-01-01
2026,1.0,66797.0,Cadence Solar Energy LLC,IPP,Cadence Solar Energy Center,OH,68431.0,CADNC,240.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-01-01
2026,1.0,9187.0,City of Idaho Falls - (ID),Electric Utility,IFP Peaking Plant,ID,68021.0,IFPP1,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-01-01
2026,1.0,9187.0,City of Idaho Falls - (ID),Electric Utility,IFP Peaking Plant,ID,68021.0,IFPP2,2.5,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-01-01
