Technology Group,Generators,Plants,Net Summer Capacity MW,Nameplate Capacity MW,Storage Energy MWh
Battery storage,1269,1103,75843.6,75491.4,145655.8
Coal,447,212,168690.5,182468.0,0.0
Hydro,3983,1434,80040.2,80065.3,0.0
Natural gas,6794,2077,516409.3,581102.7,0.0
Nuclear,96,56,98423.8,103698.4,0.0
Other,89,62,1594.1000000000001,1760.5,37.0
Other renewables,1916,671,13742.3,16563.4,0.0
Other thermal,3888,1088,29370.1,33914.3,0.0
Solar,8260,7570,166517.4,167484.7,0.0
Wind,1575,1382,165422.3,166147.9,0.0
