Period Type,Date,Source,Generation GWh
Annual,2016-12-31,Coal,1239149.0
Annual,2017-12-31,Coal,1205835.0
Annual,2018-12-31,Coal,1149487.0
Annual,2019-12-31,Coal,964957.0
Annual,2020-12-31,Coal,773393.0
Annual,2021-12-31,Coal,897999.0
Annual,2022-12-31,Coal,831512.0
Annual,2023-12-31,Coal,675115.0
Annual,2024-12-31,Coal,652156.0
Annual,2025-12-31,Coal,737151.0
Annual,2016-12-31,Natural gas,1379271.0
Annual,2017-12-31,Natural gas,1297703.0
Annual,2018-12-31,Natural gas,1471843.0
Annual,2019-12-31,Natural gas,1588533.0
Annual,2020-12-31,Natural gas,1626790.0
Annual,2021-12-31,Natural gas,1579190.0
Annual,2022-12-31,Natural gas,1687065.0
Annual,2023-12-31,Natural gas,1806063.0
Annual,2024-12-31,Natural gas,1869902.0
Annual,2025-12-31,Natural gas,1807338.0
Annual,2016-12-31,Nuclear,805694.0
Annual,2017-12-31,Nuclear,804950.0
Annual,2018-12-31,Nuclear,807084.0
Annual,2019-12-31,Nuclear,809409.0
Annual,2020-12-31,Nuclear,789879.0
Annual,2021-12-31,Nuclear,779645.0
Annual,2022-12-31,Nuclear,771537.0
Annual,2023-12-31,Nuclear,774873.0
Annual,2024-12-31,Nuclear,781865.0
Annual,2025-12-31,Nuclear,784781.0
Annual,2016-12-31,Hydro,267812.0
Annual,2017-12-31,Hydro,300333.0
Annual,2018-12-31,Hydro,292524.0
Annual,2019-12-31,Hydro,287874.0
Annual,2020-12-31,Hydro,285274.0
Annual,2021-12-31,Hydro,251585.0
Annual,2022-12-31,Hydro,254789.0
Annual,2023-12-31,Hydro,245002.0
Annual,2024-12-31,Hydro,242896.0
Annual,2025-12-31,Hydro,247023.0
Annual,2016-12-31,Solar,54866.0
Annual,2017-12-31,Solar,77277.0
Annual,2018-12-31,Solar,93365.0
Annual,2019-12-31,Solar,106894.0
Annual,2020-12-31,Solar,130721.0
Annual,2021-12-31,Solar,164422.0
Annual,2022-12-31,Solar,205074.0
Annual,2023-12-31,Solar,238937.0
Annual,2024-12-31,Solar,303752.0
Annual,2025-12-31,Solar,388820.0
Annual,2016-12-31,Wind + other renewables,305579.0
Annual,2017-12-31,Wind + other renewables,332963.0
Annual,2018-12-31,Wind + other renewables,350467.0
Annual,2019-12-31,Wind + other renewables,368862.0
Annual,2020-12-31,Wind + other renewables,408539.0
Annual,2021-12-31,Wind + other renewables,448424.0
Annual,2022-12-31,Wind + other renewables,502234.0
Annual,2023-12-31,Wind + other renewables,484708.0
Annual,2024-12-31,Wind + other renewables,513733.0
Annual,2025-12-31,Wind + other renewables,526246.0
Annual,2016-12-31,Other,13689.0
Annual,2017-12-31,Other,13008.0
Annual,2018-12-31,Other,12973.0
Annual,2019-12-31,Other,13331.0
Annual,2020-12-31,Other,12855.0
Annual,2021-12-31,Other,12140.0
Annual,2022-12-31,Other,11114.0
Annual,2023-12-31,Other,9957.0
Annual,2024-12-31,Other,8170.0
Annual,2025-12-31,Other,6654.0
Monthly,2024-01-01,Coal,75618.0
Monthly,2024-01-01,Natural gas,161667.0
Monthly,2024-01-01,Nuclear,69080.0
Monthly,2024-01-01,Hydro,21554.0
Monthly,2024-01-01,Solar,14309.0
Monthly,2024-01-01,Wind + other renewables,40334.0
Monthly,2024-01-01,Other,799.0
Monthly,2024-02-01,Coal,44137.0
Monthly,2024-02-01,Natural gas,131845.0
Monthly,2024-02-01,Nuclear,64584.0
Monthly,2024-02-01,Hydro,20795.0
Monthly,2024-02-01,Solar,17882.0
Monthly,2024-02-01,Wind + other renewables,46108.0
Monthly,2024-02-01,Other,720.0
Monthly,2024-03-01,Coal,38505.0
Monthly,2024-03-01,Natural gas,131137.0
Monthly,2024-03-01,Nuclear,63346.0
Monthly,2024-03-01,Hydro,23363.0
Monthly,2024-03-01,Solar,23132.0
Monthly,2024-03-01,Wind + other renewables,50354.0
Monthly,2024-03-01,Other,689.0
Monthly,2024-04-01,Coal,37246.0
Monthly,2024-04-01,Natural gas,121532.0
Monthly,2024-04-01,Nuclear,57542.0
Monthly,2024-04-01,Hydro,20916.0
Monthly,2024-04-01,Solar,27073.0
Monthly,2024-04-01,Wind + other renewables,51940.0
Monthly,2024-04-01,Other,644.0
Monthly,2024-05-01,Coal,45812.0
Monthly,2024-05-01,Natural gas,143993.0
Monthly,2024-05-01,Nuclear,64973.0
Monthly,2024-05-01,Hydro,24477.0
Monthly,2024-05-01,Solar,30910.0
Monthly,2024-05-01,Wind + other renewables,44360.0
Monthly,2024-05-01,Other,738.0
Monthly,2024-06-01,Coal,61339.0
Monthly,2024-06-01,Natural gas,169156.0
Monthly,2024-06-01,Nuclear,68192.0
Monthly,2024-06-01,Hydro,22397.0
Monthly,2024-06-01,Solar,33012.0
Monthly,2024-06-01,Wind + other renewables,43755.0
Monthly,2024-06-01,Other,694.0
Monthly,2024-07-01,Coal,71565.0
Monthly,2024-07-01,Natural gas,205959.0
Monthly,2024-07-01,Nuclear,69851.0
Monthly,2024-07-01,Hydro,21384.0
Monthly,2024-07-01,Solar,33262.0
Monthly,2024-07-01,Wind + other renewables,33593.0
Monthly,2024-07-01,Other,723.0
Monthly,2024-08-01,Coal,68760.0
Monthly,2024-08-01,Natural gas,202915.0
Monthly,2024-08-01,Nuclear,69760.0
Monthly,2024-08-01,Hydro,20491.0
Monthly,2024-08-01,Solar,32741.0
Monthly,2024-08-01,Wind + other renewables,34653.0
Monthly,2024-08-01,Other,682.0
Monthly,2024-09-01,Coal,54559.0
Monthly,2024-09-01,Natural gas,169671.0
Monthly,2024-09-01,Nuclear,62660.0
Monthly,2024-09-01,Hydro,15911.0
Monthly,2024-09-01,Solar,28049.0
Monthly,2024-09-01,Wind + other renewables,34165.0
Monthly,2024-09-01,Other,619.0
Monthly,2024-10-01,Coal,46890.0
Monthly,2024-10-01,Natural gas,146711.0
Monthly,2024-10-01,Nuclear,58773.0
Monthly,2024-10-01,Hydro,15352.0
Monthly,2024-10-01,Solar,26564.0
Monthly,2024-10-01,Wind + other renewables,44334.0
Monthly,2024-10-01,Other,570.0
Monthly,2024-11-01,Coal,44924.0
Monthly,2024-11-01,Natural gas,137687.0
Monthly,2024-11-01,Nuclear,61904.0
Monthly,2024-11-01,Hydro,16723.0
Monthly,2024-11-01,Solar,19234.0
Monthly,2024-11-01,Wind + other renewables,45214.0
Monthly,2024-11-01,Other,652.0
Monthly,2024-12-01,Coal,62800.0
Monthly,2024-12-01,Natural gas,147630.0
Monthly,2024-12-01,Nuclear,71200.0
Monthly,2024-12-01,Hydro,19533.0
Monthly,2024-12-01,Solar,17585.0
Monthly,2024-12-01,Wind + other renewables,44923.0
Monthly,2024-12-01,Other,639.0
Monthly,2025-01-01,Coal,83153.0
Monthly,2025-01-01,Natural gas,157001.0
Monthly,2025-01-01,Nuclear,71739.0
Monthly,2025-01-01,Hydro,21431.0
Monthly,2025-01-01,Solar,20851.0
Monthly,2025-01-01,Wind + other renewables,49002.0
Monthly,2025-01-01,Other,640.0
Monthly,2025-02-01,Coal,62306.0
Monthly,2025-02-01,Natural gas,131374.0
Monthly,2025-02-01,Nuclear,61829.0
Monthly,2025-02-01,Hydro,19543.0
Monthly,2025-02-01,Solar,22253.0
Monthly,2025-02-01,Wind + other renewables,44290.0
Monthly,2025-02-01,Other,584.0
Monthly,2025-03-01,Coal,49215.0
Monthly,2025-03-01,Natural gas,118118.0
Monthly,2025-03-01,Nuclear,62457.0
Monthly,2025-03-01,Hydro,22451.0
Monthly,2025-03-01,Solar,31199.0
Monthly,2025-03-01,Wind + other renewables,55917.0
Monthly,2025-03-01,Other,590.0
Monthly,2025-04-01,Coal,45526.0
Monthly,2025-04-01,Natural gas,114642.0
Monthly,2025-04-01,Nuclear,57893.0
Monthly,2025-04-01,Hydro,22839.0
Monthly,2025-04-01,Solar,35538.0
Monthly,2025-04-01,Wind + other renewables,50648.0
Monthly,2025-04-01,Other,584.0
Monthly,2025-05-01,Coal,48778.0
Monthly,2025-05-01,Natural gas,135072.0
Monthly,2025-05-01,Nuclear,62145.0
Monthly,2025-05-01,Hydro,24356.0
Monthly,2025-05-01,Solar,39051.0
Monthly,2025-05-01,Wind + other renewables,41911.0
Monthly,2025-05-01,Other,556.0
Monthly,2025-06-01,Coal,64502.0
Monthly,2025-06-01,Natural gas,164793.0
Monthly,2025-06-01,Nuclear,66222.0
Monthly,2025-06-01,Hydro,22159.0
Monthly,2025-06-01,Solar,41458.0
Monthly,2025-06-01,Wind + other renewables,40959.0
Monthly,2025-06-01,Other,542.0
Monthly,2025-07-01,Coal,80260.0
Monthly,2025-07-01,Natural gas,201991.0
Monthly,2025-07-01,Nuclear,70781.0
Monthly,2025-07-01,Hydro,19982.0
Monthly,2025-07-01,Solar,43281.0
Monthly,2025-07-01,Wind + other renewables,37224.0
Monthly,2025-07-01,Other,582.0
Monthly,2025-08-01,Coal,69728.0
Monthly,2025-08-01,Natural gas,192894.0
Monthly,2025-08-01,Nuclear,70705.0
Monthly,2025-08-01,Hydro,20098.0
Monthly,2025-08-01,Solar,41128.0
Monthly,2025-08-01,Wind + other renewables,32693.0
Monthly,2025-08-01,Other,499.0
Monthly,2025-09-01,Coal,58302.0
Monthly,2025-09-01,Natural gas,167876.0
Monthly,2025-09-01,Nuclear,65458.0
Monthly,2025-09-01,Hydro,15285.0
Monthly,2025-09-01,Solar,36325.0
Monthly,2025-09-01,Wind + other renewables,30805.0
Monthly,2025-09-01,Other,467.0
Monthly,2025-10-01,Coal,54019.0
Monthly,2025-10-01,Natural gas,143985.0
Monthly,2025-10-01,Nuclear,59222.0
Monthly,2025-10-01,Hydro,16545.0
Monthly,2025-10-01,Solar,32195.0
Monthly,2025-10-01,Wind + other renewables,44429.0
Monthly,2025-10-01,Other,497.0
Monthly,2025-11-01,Coal,54490.0
Monthly,2025-11-01,Natural gas,131565.0
Monthly,2025-11-01,Nuclear,63809.0
Monthly,2025-11-01,Hydro,18415.0
Monthly,2025-11-01,Solar,24580.0
Monthly,2025-11-01,Wind + other renewables,45989.0
Monthly,2025-11-01,Other,554.0
Monthly,2025-12-01,Coal,66871.0
Monthly,2025-12-01,Natural gas,148027.0
Monthly,2025-12-01,Nuclear,72521.0
Monthly,2025-12-01,Hydro,23920.0
Monthly,2025-12-01,Solar,20962.0
Monthly,2025-12-01,Wind + other renewables,52379.0
Monthly,2025-12-01,Other,561.0
Monthly,2026-01-01,Coal,72503.0
Monthly,2026-01-01,Natural gas,151630.0
Monthly,2026-01-01,Nuclear,73251.0
Monthly,2026-01-01,Hydro,27909.0
Monthly,2026-01-01,Solar,24036.0
Monthly,2026-01-01,Wind + other renewables,49844.0
Monthly,2026-01-01,Other,463.0
Monthly,2026-02-01,Coal,55859.0
Monthly,2026-02-01,Natural gas,132089.0
Monthly,2026-02-01,Nuclear,62384.0
Monthly,2026-02-01,Hydro,22462.0
Monthly,2026-02-01,Solar,27739.0
Monthly,2026-02-01,Wind + other renewables,44608.0
Monthly,2026-02-01,Other,390.0
Monthly,2026-03-01,Coal,44132.0
Monthly,2026-03-01,Natural gas,127375.0
Monthly,2026-03-01,Nuclear,62096.0
Monthly,2026-03-01,Hydro,26922.0
Monthly,2026-03-01,Solar,37953.0
Monthly,2026-03-01,Wind + other renewables,57262.0
Monthly,2026-03-01,Other,424.0
Monthly,2026-04-01,Coal,39777.0
Monthly,2026-04-01,Natural gas,124449.0
Monthly,2026-04-01,Nuclear,57373.0
Monthly,2026-04-01,Hydro,22494.0
Monthly,2026-04-01,Solar,40912.0
Monthly,2026-04-01,Wind + other renewables,53541.0
Monthly,2026-04-01,Other,302.0
Monthly,2026-05-01,Coal,45119.0
Monthly,2026-05-01,Natural gas,137271.0
Monthly,2026-05-01,Nuclear,65001.0
Monthly,2026-05-01,Hydro,22738.0
