Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,65815,Sunraycer Assets I LLC,66342.0,Gaia Hybrid,TX,Navarro,ERCO,IPP Non-CHP,GAIAS,152.7,152.7,152.7,Solar Photovoltaic,Solar,SUN,PV,,,(OP) Operating,32.160767,-96.19527
Addition,65043,Madison Energy Investments LLC,63677.0,Sturbridge Road Solar,MA,Worcester,ISNE,IPP Non-CHP,STURB,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",42.174611,-72.01786
Addition,65869,Prologis Logistics Services Incorporated,68118.0,Addison 11-SLCHI404,IL,DuPage,PJM,IPP Non-CHP,CH404,1.6,1.6,1.6,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",41.930327,-88.04848
Addition,65869,Prologis Logistics Services Incorporated,68130.0,Des Plaines 11-SLCHI211,IL,Cook,PJM,IPP Non-CHP,CH211,1.6,1.6,1.6,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",42.015,-87.915
Addition,65869,Prologis Logistics Services Incorporated,68237.0,South Bay Dis Ctr 20-SLLAX512,CA,Los Angeles,CISO,IPP Non-CHP,LA512,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.84038,-118.2287
Addition,65869,Prologis Logistics Services Incorporated,68238.0,Commerce Distribution Center 4-SLLAX113,CA,Los Angeles,CISO,IPP Non-CHP,LA113,1.2,1.2,1.2,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.98049,-118.1582
Addition,66742,Evans Creek Energy Storage LLC,68334.0,Evans Creek Energy Storage Project,TX,Val Verde,ERCO,IPP Non-CHP,EVCRK,103.0,103.0,103.0,Batteries,Battery storage,MWH,BA,6.0,2026.0,"(U) Under construction, less than or equal to 50 percent complete",29.746007,-101.1406
Addition,65043,Madison Energy Investments LLC,68392.0,IL2 - W109,IL,Will,PJM,IPP Non-CHP,IL2PV,4.9,4.9,4.9,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(U) Under construction, less than or equal to 50 percent complete",41.470454,-88.02366
Addition,66950,Lydian Energy,68580.0,Headcamp BESS,TX,Pecos,ERCO,IPP Non-CHP,MHB,150.0,150.0,150.0,Batteries,Battery storage,MWH,BA,6.0,2026.0,"(U) Under construction, less than or equal to 50 percent complete",30.916058,-102.8553
Addition,65869,Prologis Logistics Services Incorporated,68788.0,JFC Slauson - SLLAX071,CA,Los Angeles,CISO,IPP Non-CHP,LA071,1.2,1.2,1.2,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.981421,-118.1361
Addition,65869,Prologis Logistics Services Incorporated,68789.0,South Bay Dis Ctr 12 - SLLAX104,CA,Los Angeles,CISO,IPP Non-CHP,LA104,1.2,1.2,1.2,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(U) Under construction, less than or equal to 50 percent complete",33.842873,-118.2245
Addition,65869,Prologis Logistics Services Incorporated,68790.0,Dominguez - SLLAX512,CA,Los Angeles,CISO,IPP Non-CHP,LA512,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.84038,-118.2287
Addition,65869,Prologis Logistics Services Incorporated,68793.0,Bandini - SLLAX710,CA,Los Angeles,CISO,IPP Non-CHP,LA710,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.983566,-118.1348
Addition,67127,"Big Sampson Wind Project, LLC",68873.0,Big Sampson Wind,TX,Crockett,ERCO,IPP Non-CHP,BIGS,265.0,265.0,265.0,Onshore Wind Turbine,Wind,WND,WT,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",30.981883,-101.8505
Addition,67299,Sypert Branch Solar LLC,69150.0,Sypert Branch Solar,TX,Milam,ERCO,IPP Non-CHP,SYPRT,293.9,260.0,260.0,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(U) Under construction, less than or equal to 50 percent complete",30.877895,-97.1944
Addition,65869,Prologis Logistics Services Incorporated,69436.0,Prologis Portside 2509 - SLSAV502,GA,Chatham,SOCO,IPP Non-CHP,SA502,2.2,2.2,2.2,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",32.122059,-81.17755
Addition,65869,Prologis Logistics Services Incorporated,69437.0,Lathrop 4 - SLCVA204,CA,San Joaquin,CISO,IPP Non-CHP,BA204,2.0,2.0,2.0,Batteries,Battery storage,MWH,BA,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",37.809438,-121.283
Addition,65869,Prologis Logistics Services Incorporated,69437.0,Lathrop 4 - SLCVA204,CA,San Joaquin,CISO,IPP Non-CHP,CV204,1.4,1.4,1.4,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",37.809438,-121.283
Addition,67336,"Elawan Pitts Dudik Solar II, LLC",69674.0,Pitts Dudik Solar II,TX,Hill,ERCO,IPP Non-CHP,PDII,30.4,30.4,30.4,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",31.891711,-96.87922
Addition,65869,Prologis Logistics Services Incorporated,69891.0,Torrance Dis Ctr 2 - SLLAX100,CA,Los Angeles,CISO,IPP Non-CHP,LA100,1.4,1.4,1.4,Solar Photovoltaic,Solar,SUN,PV,6.0,2026.0,"(TS) Construction complete, but not yet in commercial operation",33.84516,-118.3164
