q_id,q_status,q_date,prop_date,ia_date,IA_phase_clean,county,state,region,project_name,utility,entity,developer,service,project_type,type_1,type_2,type_3,type_clean,Technology Group,mw_1,mw_2,mw_3,Generation MW,Storage MW,Queue MW,Queue Accounting,q_year,prop_year
Q225,active,2014-09-25 00:00:00,2021-12-22 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2014.0,2021.0
Q229,active,2015-09-30 00:00:00,2021-01-21 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,50.0,,,,50.0,50.0,Submitted components; hybrid-storage imputation excluded,2015.0,2021.0
Q230,active,2015-09-30 00:00:00,2021-12-24 00:00:00,,Construction,Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,,,Solar,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2015.0,2021.0
Q239,active,2016-03-30 00:00:00,2021-03-23 00:00:00,,In Progress (unknown study),Pinal,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,213.75,,,213.75,,213.75,Submitted components; hybrid-storage imputation excluded,2016.0,2021.0
Q246,active,2016-09-07 00:00:00,2021-09-23 00:00:00,,IA Executed,Yuma,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,,,Solar,Solar,20.0,,,20.0,,20.0,Submitted components; hybrid-storage imputation excluded,2016.0,2021.0
Q252,active,2017-03-29 00:00:00,2021-12-31 00:00:00,,Construction,Yuma,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2017.0,2021.0
Q254,active,2017-03-31 00:00:00,2022-10-28 00:00:00,,IA Executed,Pinal,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,,,Solar,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2017.0,2022.0
Q255,active,2017-05-16 00:00:00,2021-12-24 00:00:00,,In Progress (unknown study),Coconino,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,2000.0,,,2000.0,,2000.0,Submitted components; hybrid-storage imputation excluded,2017.0,2021.0
Q256,active,2017-05-24 00:00:00,2023-01-30 00:00:00,,In Progress (unknown study),Pinal,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2017.0,2023.0
Q264,active,2017-09-29 00:00:00,2021-12-22 00:00:00,,IA Executed,Pinal,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,130.0,,,130.0,,130.0,Submitted components; hybrid-storage imputation excluded,2017.0,2021.0
Q268,active,2018-03-29 00:00:00,2020-12-01 00:00:00,,Construction,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,75.0,,,,75.0,75.0,Submitted components; hybrid-storage imputation excluded,2018.0,2020.0
Q269,active,2018-03-29 00:00:00,2022-12-16 00:00:00,,Construction,Maricopa,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Battery,,,Battery,Battery storage,450.0,,,,450.0,450.0,Submitted components; hybrid-storage imputation excluded,2018.0,2022.0
Q270,active,2018-03-29 00:00:00,2021-12-23 00:00:00,,Construction,Navajo,AZ,West,,Arizona Public Service,APS,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2018.0,2021.0
