Date,Geography,Sector,Sales MWh,Revenue Thousand Dollars,Customers,Price Cents per kWh,Data Status
2026-05-01,AK,Residential,153708.2,43386.02,304489.0,28.23,Preliminary
2026-05-01,AL,Residential,2341597.0,392769.84,2449797.0,16.77,Preliminary
2026-05-01,AR,Residential,1198643.9,172088.92,1505935.0,14.36,Preliminary
2026-05-01,AZ,Residential,3379712.6,514744.62,3204322.0,15.23,Preliminary
2026-05-01,CA,Residential,5763734.9,1916193.6,14141111.0,33.25,Preliminary
2026-05-01,CO,Residential,1521781.6,245902.01,2536887.0,16.16,Preliminary
2026-05-01,CT,Residential,859915.22,235384.84,1611753.0,27.37,Preliminary
2026-05-01,DC,Residential,163979.88,41658.2,326670.0,25.4,Preliminary
2026-05-01,DE,Residential,337956.48,65489.23,481756.0,19.38,Preliminary
2026-05-01,FL,Residential,11998372.0,1820285.3,10770427.0,15.17,Preliminary
2026-05-01,GA,Residential,4623278.7,732546.03,4906704.0,15.84,Preliminary
2026-05-01,HI,Residential,216524.29,112599.16,451210.0,52.0,Preliminary
2026-05-01,IA,Residential,1029616.8,145562.93,1483723.0,14.14,Preliminary
2026-05-01,ID,Residential,675054.11,83338.69,904530.0,12.35,Preliminary
2026-05-01,IL,Residential,2782396.7,663553.04,5410276.0,23.85,Preliminary
2026-05-01,IN,Residential,2164451.7,392749.96,3034346.0,18.15,Preliminary
2026-05-01,KS,Residential,1039160.4,157276.09,1360260.0,15.13,Preliminary
2026-05-01,KY,Residential,1733106.9,259569.07,2029420.0,14.98,Preliminary
2026-05-01,LA,Residential,2218375.6,314006.24,2180687.0,14.15,Preliminary
2026-05-01,MA,Residential,1358940.5,391623.95,2867016.0,28.82,Preliminary
2026-05-01,MD,Residential,1804785.5,392988.12,2483008.0,21.77,Preliminary
2026-05-01,ME,Residential,372572.54,106657.01,739364.0,28.63,Preliminary
2026-05-01,MI,Residential,2387822.1,525473.43,4557020.0,22.01,Preliminary
2026-05-01,MN,Residential,1650976.9,279868.63,2637112.0,16.95,Preliminary
2026-05-01,MO,Residential,2373425.9,324635.39,2914498.0,13.68,Preliminary
2026-05-01,MS,Residential,1276873.9,206291.09,1359707.0,16.16,Preliminary
2026-05-01,MT,Residential,396674.26,58204.27,572400.0,14.67,Preliminary
2026-05-01,NC,Residential,4522219.0,682455.66,5234180.0,15.09,Preliminary
2026-05-01,ND,Residential,345669.2,47050.94,401700.0,13.61,Preliminary
2026-05-01,NE,Residential,735945.14,99988.92,931345.0,13.59,Preliminary
2026-05-01,NH,Residential,330990.16,90457.29,664531.0,27.33,Preliminary
2026-05-01,NJ,Residential,2083348.8,484792.67,3813215.0,23.27,Preliminary
2026-05-01,NM,Residential,541388.4,76457.78,929368.0,14.12,Preliminary
2026-05-01,NV,Residential,1185871.7,161293.2,1350225.0,13.6,Preliminary
2026-05-01,NY,Residential,3347238.3,1001834.3,7477735.0,29.93,Preliminary
2026-05-01,OH,Residential,3458161.8,675182.55,5122275.0,19.52,Preliminary
2026-05-01,OK,Residential,1720987.7,230281.23,1920857.0,13.38,Preliminary
2026-05-01,OR,Residential,1288977.3,209690.37,1901973.0,16.27,Preliminary
2026-05-01,PA,Residential,3471235.3,747966.13,5566571.0,21.55,Preliminary
2026-05-01,RI,Residential,237105.38,69840.77,471353.0,29.46,Preliminary
2026-05-01,SC,Residential,2433298.3,393693.84,2659204.0,16.18,Preliminary
2026-05-01,SD,Residential,361342.04,56832.23,448859.0,15.73,Preliminary
2026-05-01,TN,Residential,2819956.6,407919.2,3147828.0,14.47,Preliminary
2026-05-01,TX,Residential,12822497.0,2107488.5,12903067.0,16.44,Preliminary
2026-05-01,UT,Residential,863541.67,111949.43,1281310.0,12.96,Preliminary
2026-05-01,VA,Residential,3080019.8,542295.43,3717653.0,17.61,Preliminary
2026-05-01,VT,Residential,151174.46,37623.36,313825.0,24.89,Preliminary
2026-05-01,WA,Residential,2588309.9,386889.13,3424165.0,14.95,Preliminary
2026-05-01,WI,Residential,1596541.1,315172.32,2887194.0,19.74,Preliminary
2026-05-01,WV,Residential,643014.71,108022.16,866822.0,16.8,Preliminary
2026-05-01,WY,Residential,207139.85,30648.2,292131.0,14.8,Preliminary
2026-04-01,AK,Residential,180410.99,49336.32,304522.0,27.35,Preliminary
2026-04-01,AL,Residential,2061103.7,358752.32,2446991.0,17.41,Preliminary
2026-04-01,AR,Residential,1125706.5,159433.64,1504777.0,14.16,Preliminary
2026-04-01,AZ,Residential,2642354.8,408933.09,3204997.0,15.48,Preliminary
