Date,Value,ANFCI
1971-01-08,0.6,0.61
1971-01-15,0.632,0.665
1971-01-22,0.67,0.737
1971-01-29,0.711,0.819
1971-02-05,0.754,0.902
1971-02-12,0.797,0.977
1971-02-19,0.839,1.033
1971-02-26,0.88,1.069
1971-03-05,0.922,1.084
1971-03-12,0.967,1.083
1971-03-19,1.018,1.078
1971-03-26,1.077,1.086
1971-04-02,1.144,1.123
1971-04-09,1.218,1.202
1971-04-16,1.294,1.327
1971-04-23,1.366,1.488
1971-04-30,1.426,1.664
1971-05-07,1.466,1.826
1971-05-14,1.478,1.937
1971-05-21,1.457,1.97
1971-05-28,1.404,1.911
1971-06-04,1.323,1.758
1971-06-11,1.223,1.519
1971-06-18,1.119,1.229
1971-06-25,1.03,0.927
1971-07-02,0.971,0.663
1971-07-09,0.958,0.491
1971-07-16,1.0,0.455
1971-07-23,1.101,0.578
1971-07-30,1.255,0.859
1971-08-06,1.447,1.262
1971-08-13,1.657,1.725
1971-08-20,1.863,2.182
1971-08-27,2.039,2.559
1971-09-03,2.169,2.812
1971-09-10,2.24,2.914
1971-09-17,2.249,2.872
1971-09-24,2.201,2.706
1971-10-01,2.107,2.456
1971-10-08,1.98,2.165
1971-10-15,1.838,1.879
1971-10-22,1.699,1.639
1971-10-29,1.577,1.474
1971-11-05,1.481,1.397
1971-11-12,1.415,1.406
1971-11-19,1.378,1.485
1971-11-26,1.363,1.603
1971-12-03,1.363,1.734
1971-12-10,1.367,1.847
1971-12-17,1.366,1.916
1971-12-24,1.35,1.926
1971-12-31,1.318,1.872
1972-01-07,1.26,1.747
1972-01-14,1.184,1.578
1972-01-21,1.091,1.38
1972-01-28,0.989,1.177
1972-02-04,0.885,0.993
1972-02-11,0.784,0.838
1972-02-18,0.691,0.719
1972-02-25,0.608,0.636
1972-03-03,0.536,0.585
1972-03-10,0.477,0.561
1972-03-17,0.427,0.556
1972-03-24,0.382,0.561
1972-03-31,0.34,0.562
1972-04-07,0.297,0.546
1972-04-14,0.251,0.506
1972-04-21,0.202,0.436
1972-04-28,0.154,0.344
1972-05-05,0.108,0.239
1972-05-12,0.07,0.137
1972-05-19,0.043,0.056
1972-05-26,0.033,0.009
1972-06-02,0.04,0.006
1972-06-09,0.066,0.051
1972-06-16,0.107,0.138
1972-06-23,0.16,0.257
