Assessment Area,Anticipated Reserve Margin Percent,Typical Conditions Margin Percent,Extreme Conditions Margin Percent,Season,Publication Date,Source,Source URL,Evidence Grade
MISO,31.1,21.6,3.8,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
NPCC-New England,14.0,4.0,-0.9,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
NPCC-New York,34.2,15.0,7.5,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
PJM,26.2,16.1,3.8,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
SERC-C,18.9,13.9,5.6,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
SERC-E,26.3,17.4,10.3,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
SERC-FP,25.8,20.7,13.6,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
SERC-SE,36.9,33.1,24.7,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
TRE-ERCOT,67.9,60.2,20.4,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
WECC-Basin,37.6,34.9,11.5,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
WECC-Cal,55.6,54.3,17.0,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
WECC-NW,26.9,25.2,8.8,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
WECC-RM,51.9,49.2,21.5,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
WECC-SW,48.1,44.7,25.2,Summer 2026,2026-05-19,NERC 2026 Summer Reliability Assessment,https://www.nerc.com/globalassets/our-work/assessments/nerc_sra_2026.pdf,A
