Observation Date,Info Processing Investment Level
2007-01-01,365.767
2007-04-01,370.454
2007-07-01,380.451
2007-10-01,398.926
2008-01-01,406.614
2008-04-01,410.919
2008-07-01,407.936
2008-10-01,389.234
2009-01-01,382.112
2009-04-01,386.204
2009-07-01,399.709
2009-10-01,420.759
2010-01-01,429.208
2010-04-01,434.403
2010-07-01,446.297
2010-10-01,452.555
2011-01-01,453.454
2011-04-01,468.369
2011-07-01,481.898
2011-10-01,490.51
2012-01-01,509.854
2012-04-01,522.961
2012-07-01,518.208
2012-10-01,532.901
2013-01-01,553.695
2013-04-01,548.783
2013-07-01,560.286
2013-10-01,571.046
2014-01-01,578.134
2014-04-01,597.374
2014-07-01,604.666
2014-10-01,616.228
2015-01-01,623.186
2015-04-01,633.832
2015-07-01,647.452
2015-10-01,661.278
2016-01-01,676.404
2016-04-01,686.997
2016-07-01,703.051
2016-10-01,719.912
2017-01-01,735.916
2017-04-01,759.91
2017-07-01,777.238
2017-10-01,802.567
2018-01-01,827.515
2018-04-01,843.227
2018-07-01,860.509
2018-10-01,871.524
2019-01-01,877.081
2019-04-01,894.395
2019-07-01,898.68
2019-10-01,911.803
2020-01-01,909.244
2020-04-01,919.19
2020-07-01,956.035
2020-10-01,988.523
2021-01-01,1029.917
2021-04-01,1055.459
2021-07-01,1065.715
2021-10-01,1111.421
2022-01-01,1159.935
2022-04-01,1177.82
2022-07-01,1196.637
2022-10-01,1199.166
2023-01-01,1197.933
2023-04-01,1198.919
2023-07-01,1206.879
2023-10-01,1239.751
2024-01-01,1257.955
2024-04-01,1278.27
2024-07-01,1301.694
2024-10-01,1307.809
2025-01-01,1412.659
2025-04-01,1477.602
2025-07-01,1498.952
2025-10-01,1563.986
2026-01-01,1673.041
