Dataset,Geography Level,Geography,Metric,Value,Unit,Observation Date,Source,Source URL,Boundary
National facility totals,Census region,Midwest,Development,419.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,Midwest,Operating,655.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,Midwest,Total,1074.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,Northeast,Development,106.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,Northeast,Operating,397.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,Northeast,Total,503.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,South,Development,754.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,South,Operating,1209.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,South,Total,1963.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
National facility totals,Census region,West,Development,277.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,"Development combines under construction, planned, and land-banked sites; canceled and uncertain records excluded."
