Member Entity ID,Parent Entity ID,Campus ID,Relationship,Source Record ID,Observation ID,Relationship Basis,Registry Version
campus:dd1a496569880473,campus:dd1a496569880473,campus:dd1a496569880473,observation_supports_campus,verified:project-caprock,curated:76920b8828f29f73,campus identity evidence,9.6.2
campus:b333e15b6132ee11,campus:b333e15b6132ee11,campus:b333e15b6132ee11,observation_supports_campus,verified:project-matador,curated:ce9e53f6e47c56fe,campus identity evidence,9.6.2
campus:b333e15b6132ee11,campus:b333e15b6132ee11,campus:b333e15b6132ee11,observation_supports_campus,682,fractracker:682,campus identity evidence,9.6.2
campus:df6cfb6f15ecc9c8,campus:df6cfb6f15ecc9c8,campus:df6cfb6f15ecc9c8,observation_supports_campus,verified:google-armstrong,curated:19c6d74cbd407bcd,campus identity evidence,9.6.2
building:d2ec4d3cc4e6ba48,campus:97a053fe32ba48dc,campus:97a053fe32ba48dc,building_in_campus,osm-way-840582927,gigawatt:osm-way-840582927,source-native building observation,9.6.2
campus:97a053fe32ba48dc,campus:97a053fe32ba48dc,campus:97a053fe32ba48dc,observation_supports_campus,im3-source:037bfe0b2c97f054,im3:037bfe0b2c97f054,campus identity evidence,9.6.2
campus:97a053fe32ba48dc,campus:97a053fe32ba48dc,campus:97a053fe32ba48dc,observation_supports_campus,1113,fractracker:1113,campus identity evidence,9.6.2
campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,observation_supports_campus,im3-source:0575cd9fdf086b16,im3:0575cd9fdf086b16,campus identity evidence,9.6.2
campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,observation_supports_campus,194,fractracker:194,campus identity evidence,9.6.2
campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,campus:3aad55e56a1fceff,observation_supports_campus,google-atlanta-ga,gigawatt:google-atlanta-ga,campus identity evidence,9.6.2
campus:24cb05589eaa9ed5,campus:24cb05589eaa9ed5,campus:24cb05589eaa9ed5,observation_supports_campus,im3-source:06a320881cacdbdd,im3:06a320881cacdbdd,campus identity evidence,9.6.2
building:65cd2e852d0129a5,campus:d48b7cba4f55fe3f,campus:d48b7cba4f55fe3f,building_in_campus,osm-way-1281982572,gigawatt:osm-way-1281982572,source-native building observation,9.6.2
campus:d48b7cba4f55fe3f,campus:d48b7cba4f55fe3f,campus:d48b7cba4f55fe3f,observation_supports_campus,im3-source:077460dc9c7257b7,im3:077460dc9c7257b7,campus identity evidence,9.6.2
building:7b8c82c7047339dd,campus:13bfe812c61791c6,campus:13bfe812c61791c6,building_in_campus,osm-way-254756938,gigawatt:osm-way-254756938,source-native building observation,9.6.2
campus:13bfe812c61791c6,campus:13bfe812c61791c6,campus:13bfe812c61791c6,observation_supports_campus,im3-source:0a17ee96edd0b48b,im3:0a17ee96edd0b48b,campus identity evidence,9.6.2
building:9d41046a9d838ce4,campus:6931a4c12ebdc27c,campus:6931a4c12ebdc27c,building_in_campus,osm-way-1314355599,gigawatt:osm-way-1314355599,source-native building observation,9.6.2
campus:6931a4c12ebdc27c,campus:6931a4c12ebdc27c,campus:6931a4c12ebdc27c,observation_supports_campus,im3-source:0ca054e099246bf7,im3:0ca054e099246bf7,campus identity evidence,9.6.2
campus:d1c653d134a8f3b1,campus:d1c653d134a8f3b1,campus:d1c653d134a8f3b1,observation_supports_campus,im3-source:15a9a22ea50bc87a,im3:15a9a22ea50bc87a,campus identity evidence,9.6.2
building:9b6fec347b6ef31d,campus:b9eb2d29918e3b92,campus:b9eb2d29918e3b92,building_in_campus,osm-way-876120402,gigawatt:osm-way-876120402,source-native building observation,9.6.2
campus:b9eb2d29918e3b92,campus:b9eb2d29918e3b92,campus:b9eb2d29918e3b92,observation_supports_campus,im3-source:1a716faf8e236a2b,im3:1a716faf8e236a2b,campus identity evidence,9.6.2
campus:adc91de08a350537,campus:adc91de08a350537,campus:adc91de08a350537,observation_supports_campus,im3-source:1bd2a4906417dd06,im3:1bd2a4906417dd06,campus identity evidence,9.6.2
building:2cf11de5661ea734,campus:2000aeed4a747e73,campus:2000aeed4a747e73,building_in_campus,osm-way-635022480,gigawatt:osm-way-635022480,source-native building observation,9.6.2
campus:2000aeed4a747e73,campus:2000aeed4a747e73,campus:2000aeed4a747e73,observation_supports_campus,im3-source:1bf41bf6304df851,im3:1bf41bf6304df851,campus identity evidence,9.6.2
campus:2eb00d9c291b8dbd,campus:2eb00d9c291b8dbd,campus:2eb00d9c291b8dbd,observation_supports_campus,im3-source:1f2e515642618943,im3:1f2e515642618943,campus identity evidence,9.6.2
building:32c03bee0c125194,campus:b483affc24a91a43,campus:b483affc24a91a43,building_in_campus,osm-way-34770750,gigawatt:osm-way-34770750,source-native building observation,9.6.2
campus:b483affc24a91a43,campus:b483affc24a91a43,campus:b483affc24a91a43,observation_supports_campus,im3-source:211d6c0aa9d40907,im3:211d6c0aa9d40907,campus identity evidence,9.6.2
building:706738a90ffcaf7a,campus:932562f10075e669,campus:932562f10075e669,building_in_campus,osm-way-723117951,gigawatt:osm-way-723117951,source-native building observation,9.6.2
campus:932562f10075e669,campus:932562f10075e669,campus:932562f10075e669,observation_supports_campus,im3-source:240ebbaca5d9eb18,im3:240ebbaca5d9eb18,campus identity evidence,9.6.2
campus:613ba8d43cefc9bb,campus:613ba8d43cefc9bb,campus:613ba8d43cefc9bb,observation_supports_campus,im3-source:2cc4dedb6fd32b50,im3:2cc4dedb6fd32b50,campus identity evidence,9.6.2
building:9ab264aefe447139,campus:0f6f3a6a69d1eeab,campus:0f6f3a6a69d1eeab,building_in_campus,osm-way-700431553,gigawatt:osm-way-700431553,source-native building observation,9.6.2
campus:0f6f3a6a69d1eeab,campus:0f6f3a6a69d1eeab,campus:0f6f3a6a69d1eeab,observation_supports_campus,im3-source:2ddb8898afd63f85,im3:2ddb8898afd63f85,campus identity evidence,9.6.2
campus:c0a84d62e75fd16e,campus:c0a84d62e75fd16e,campus:c0a84d62e75fd16e,observation_supports_campus,im3-source:2effd7fcf03c7c6f,im3:2effd7fcf03c7c6f,campus identity evidence,9.6.2
campus:a02720d76912b4ad,campus:a02720d76912b4ad,campus:a02720d76912b4ad,observation_supports_campus,im3-source:313ad86302e53d47,im3:313ad86302e53d47,campus identity evidence,9.6.2
campus:a02720d76912b4ad,campus:a02720d76912b4ad,campus:a02720d76912b4ad,observation_supports_campus,567,fractracker:567,campus identity evidence,9.6.2
campus:a02720d76912b4ad,campus:a02720d76912b4ad,campus:a02720d76912b4ad,observation_supports_campus,google-the-dalles-or,gigawatt:google-the-dalles-or,campus identity evidence,9.6.2
building:b72e283e8ff03971,campus:a887ad4e0253994a,campus:a887ad4e0253994a,building_in_campus,osm-way-836908998,gigawatt:osm-way-836908998,source-native building observation,9.6.2
campus:a887ad4e0253994a,campus:a887ad4e0253994a,campus:a887ad4e0253994a,observation_supports_campus,im3-source:3bfffee17941929d,im3:3bfffee17941929d,campus identity evidence,9.6.2
building:e262dac9612dd748,campus:43e9dae6bd4b67df,campus:43e9dae6bd4b67df,building_in_campus,osm-way-1346610234,gigawatt:osm-way-1346610234,source-native building observation,9.6.2
campus:43e9dae6bd4b67df,campus:43e9dae6bd4b67df,campus:43e9dae6bd4b67df,observation_supports_campus,im3-source:4821009d0f0760ec,im3:4821009d0f0760ec,campus identity evidence,9.6.2
campus:7e9f1b6d5d961109,campus:7e9f1b6d5d961109,campus:7e9f1b6d5d961109,observation_supports_campus,im3-source:494cc7941305fb11,im3:494cc7941305fb11,campus identity evidence,9.6.2
campus:4930bbc52fb37371,campus:4930bbc52fb37371,campus:4930bbc52fb37371,observation_supports_campus,im3-source:6260ec3444522e42,im3:6260ec3444522e42,campus identity evidence,9.6.2
building:47be54cc594902ee,campus:47af5fe5ddfea398,campus:47af5fe5ddfea398,building_in_campus,osm-way-675108684,gigawatt:osm-way-675108684,source-native building observation,9.6.2
campus:47af5fe5ddfea398,campus:47af5fe5ddfea398,campus:47af5fe5ddfea398,observation_supports_campus,im3-source:65138509c711917d,im3:65138509c711917d,campus identity evidence,9.6.2
building:d19cc194418a8654,campus:c3f738ae73d02646,campus:c3f738ae73d02646,building_in_campus,osm-way-1356594646,gigawatt:osm-way-1356594646,source-native building observation,9.6.2
