Observation ID,Source Record ID,Source,Source Class,Observation Level,Name,Operator,Owner,Developer,Occupant,Address,City,State,County,ZIP Code,Latitude,Longitude,Location Precision,Purpose,Status,Status Detail,Status Date,Expected Service Date,Square Feet,Facility Count,Building Count,Property Size Acres,Project Cost,Raw Capacity Text,Published Capacity Estimate Low MW,Published Capacity Estimate MW,Published Capacity Estimate High MW,Capacity Estimate Basis,Planned Data Center Capacity MW,Contracted Utility Capacity MW,Energized Capacity MW,Annual Electricity Consumption MWh,Planned Onsite Generation MW,Power Source,Dedicated Power Plant,Generator Count,Utility,Balancing Authority,Watershed,Water Withdrawal Gallons/Year,Water Consumption Gallons/Year,Site WUE L/kWh,Cooling System,Water Source,Water Permit or Utility Record,Reclaimed Water Use,Water Evidence Scope,Water Evidence Grade,Water Evidence Type,Water Evidence Source,Water Evidence URL,Water Evidence Date,Community Response,Evidence Grade,Evidence Type,Inventory Confidence,Source URL,Upstream Source URL,Source Date,Source Updated Date,Notes,Resolution Reason
fractracker:293,293,FracTracker Open U.S. Data Centers Tracker,Open project tracker,campus,Microsoft,Microsoft,,Microsoft,,,Granger,IN,St. Joseph,46530.0,41.72418,-86.1341,High,,Status unknown,Unknown,,,,,,900.0,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,C,Cross-referenced open project tracker,High,https://www.insideindianabusiness.com/articles/new-data-center-project-being-proposed-for-new-carlisle,https://www.insideindianabusiness.com/articles/new-data-center-project-being-proposed-for-new-carlisle,2025-05-14,2025-05-14,Expansion of existing Media Monitoring,Insufficient evidence to establish or attach a distinct campus
fractracker:372,372,FracTracker Open U.S. Data Centers Tracker,Open project tracker,campus,Amazon,Amazon,,Amazon,,,Becker,MN,Sherburne,55308.0,45.38527,-93.8805,Medium,,Suspended,Suspended,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,B,Cross-referenced open project tracker,Medium,https://www.msn.com/en-us/money/companies/amazon-suspends-minnesota-data-center-as-lawmakers-plan-to-reduce-big-tech-tax-breaks/ar-AA1Fj3re,https://www.msn.com/en-us/money/companies/amazon-suspends-minnesota-data-center-as-lawmakers-plan-to-reduce-big-tech-tax-breaks/ar-AA1Fj3re | https://www.fox9.com/news/amazon-becker-data-center | https://www.datacenterdynamics.com/en/news/amazon-web-services-suspends-plans-for-minnesota-data-center/,2025-05-23,2025-05-23,Media Monitoring,Insufficient evidence to establish or attach a distinct campus
fractracker:504,504,FracTracker Open U.S. Data Centers Tracker,Open project tracker,campus,Amazon,Amazon,,Amazon,,,Columbus,OH,Franklin,,39.96418,-83.0171,Low,,Suspended,Suspended,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,B,Cross-referenced open project tracker,Low,https://marcellusdrilling.com/2025/04/microsoft-hits-pause-button-on-1b-data-centers-near-columbus-oh/,https://marcellusdrilling.com/2025/04/microsoft-hits-pause-button-on-1b-data-centers-near-columbus-oh/ | https://www.dispatch.com/story/business/2025/04/07/microsoft-backs-out-of-plans-to-build-data-centers-in-licking-county/82973097007/,,,Media Monitoring,Insufficient evidence to establish or attach a distinct campus
fractracker:510,510,FracTracker Open U.S. Data Centers Tracker,Open project tracker,campus,Microsoft,Microsoft,,Microsoft,,,Columbus,OH,Franklin,,39.96418,-83.0171,Low,,Suspended,Suspended,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,B,Cross-referenced open project tracker,Low,https://marcellusdrilling.com/2025/04/microsoft-hits-pause-button-on-1b-data-centers-near-columbus-oh/,https://marcellusdrilling.com/2025/04/microsoft-hits-pause-button-on-1b-data-centers-near-columbus-oh/ | https://www.dispatch.com/story/business/2025/04/07/microsoft-backs-out-of-plans-to-build-data-centers-in-licking-county/82973097007/,,,Media Monitoring,Insufficient evidence to establish or attach a distinct campus
fractracker:946,946,FracTracker Open U.S. Data Centers Tracker,Open project tracker,campus,Cielo Digital Infrastructure,Cielo Digital Infrastructure,,Cielo Digital Infrastructure,,,Culpepper,VA,Culpeper,22701.0,38.466785,-77.96353,Medium,,Proposed,Proposed,,,1400000.0,,,121.0,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,B,Cross-referenced open project tracker,Medium,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=CWBKLL525B17,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=CWBKLL525B17 | https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=3148,2024-04-10,2025-10-17,"Project covers more than one parcel, the acreage represents the combined acreage PEC",Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-node-10014176940,osm-node-10014176940,Gigawatt Map retained export,Observed footprint,building,Microsoft,microsoft,,microsoft,,,,PR,,,18.417436,-66.10899,Published point,,Observed footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-node-10537283366,osm-node-10537283366,Gigawatt Map retained export,Observed footprint,building,Netrality,,,,,,,IL,,,41.872881,-87.63344,Published point,,Observed footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-node-10567817971,osm-node-10567817971,Gigawatt Map retained export,Observed footprint,building,Brandaleone Lab for Data and Visualization,,,,,,,NC,Durham County,,36.003099,-78.938532,Published point,,Observed footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-node-10648552506,osm-node-10648552506,Gigawatt Map retained export,Observed footprint,building,Frontier (supercomputer),,,,,,,TN,Roane County,,35.929513,-84.310567,Published point,,Observed footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-node-10780794741,osm-node-10780794741,Gigawatt Map retained export,Observed footprint,building,Ntirety,,,,,,,CA,,,37.779653,-122.394001,Published point,,Observed footprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
