State,Total,Operating,Development,Observation Date,Source,Source URL
Virginia,685,398,287,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Texas,466,296,170,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
California,331,277,54,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Illinois,262,139,123,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Georgia,235,94,141,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Ohio,223,166,57,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Arizona,184,98,86,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
New York,154,148,6,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Oregon,142,115,27,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Washington,135,124,11,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Pennsylvania,129,78,51,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Florida,128,120,8,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
North Carolina,113,72,41,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Iowa,105,64,41,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
Indiana,92,38,54,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/
