Data Center Construction,Private Nonresidential Construction,"Computer, Electronic & Electrical Manufacturing Construction",Private Manufacturing Construction,Electric Power Construction,Communication Construction,Observation Date,Public Highway and Street Construction,Public Transportation Construction,Public Water Supply Construction
,150025.0,1817.0,24811.0,18300.0,9629.0,1993-01-01,,,
,149035.0,1718.0,23488.0,20123.0,9483.0,1993-02-01,,,
,148442.0,1717.0,22800.0,19513.0,10089.0,1993-03-01,,,
,144221.0,2465.0,21550.0,15973.0,9387.0,1993-04-01,,,
,148529.0,2941.0,23659.0,15268.0,9630.0,1993-05-01,,,
,147860.0,2398.0,21963.0,15066.0,9506.0,1993-06-01,,,
,145513.0,1800.0,22933.0,14936.0,9794.0,1993-07-01,,,
,149217.0,1786.0,23480.0,14418.0,9471.0,1993-08-01,,,
,150868.0,1616.0,23376.0,14849.0,9879.0,1993-09-01,,,
,151440.0,2027.0,23696.0,15692.0,9659.0,1993-10-01,,,
,156274.0,2578.0,23787.0,16180.0,9973.0,1993-11-01,,,
,159605.0,3034.0,25010.0,18639.0,10013.0,1993-12-01,,,
,148235.0,2306.0,24403.0,15568.0,9480.0,1994-01-01,,,
,152047.0,2666.0,24862.0,19585.0,10148.0,1994-02-01,,,
,159948.0,2614.0,25912.0,16610.0,10125.0,1994-03-01,,,
,159650.0,3115.0,26921.0,16244.0,9524.0,1994-04-01,,,
,162280.0,3614.0,29875.0,14209.0,9892.0,1994-05-01,,,
,160441.0,3707.0,28663.0,13429.0,10250.0,1994-06-01,,,
,158233.0,5034.0,28246.0,14654.0,9986.0,1994-07-01,,,
,161620.0,5310.0,29333.0,14244.0,10751.0,1994-08-01,,,
,163466.0,5915.0,30066.0,14489.0,10091.0,1994-09-01,,,
,163059.0,4727.0,30512.0,14050.0,10376.0,1994-10-01,,,
,168246.0,4979.0,33727.0,14208.0,10408.0,1994-11-01,,,
,165270.0,5418.0,32015.0,13861.0,10631.0,1994-12-01,,,
,169788.0,4024.0,32256.0,15251.0,11220.0,1995-01-01,,,
,173462.0,5472.0,33780.0,14450.0,10664.0,1995-02-01,,,
,178944.0,5828.0,34291.0,14852.0,10787.0,1995-03-01,,,
,180257.0,6331.0,35806.0,15439.0,12310.0,1995-04-01,,,
,180694.0,5932.0,37043.0,15465.0,10498.0,1995-05-01,,,
,184210.0,6048.0,35902.0,15117.0,11660.0,1995-06-01,,,
,185753.0,5983.0,36957.0,14527.0,12468.0,1995-07-01,,,
,180948.0,6371.0,35191.0,14172.0,11171.0,1995-08-01,,,
,182754.0,7302.0,35838.0,13698.0,11204.0,1995-09-01,,,
,183887.0,7621.0,35857.0,13374.0,10992.0,1995-10-01,,,
,181715.0,7457.0,35508.0,13032.0,10816.0,1995-11-01,,,
,182144.0,7620.0,35511.0,13099.0,10145.0,1995-12-01,,,
,187068.0,8489.0,39939.0,12125.0,11641.0,1996-01-01,,,
,185642.0,7111.0,37011.0,11919.0,11718.0,1996-02-01,,,
,184419.0,7867.0,36821.0,12143.0,10833.0,1996-03-01,,,
,189505.0,6941.0,37085.0,11946.0,11493.0,1996-04-01,,,
,187923.0,7589.0,36485.0,10887.0,11527.0,1996-05-01,,,
,194933.0,8381.0,37396.0,11166.0,11064.0,1996-06-01,,,
