Manager,Fund,Vintage,Exposure Tier,Exposure Confidence,Capital Committed,Paid In Capital,Distributions,NAV,Net IRR,Source As Of,Source,Source URL
Advent,Advent Global Technology L.P.,2020,Core technology,high,100000000.0,98499996.0,13500000.0,133492600.0,10.03,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Advent,Advent Global Technology II,2022,Core technology,high,100000000.0,68016562.0,0.0,90944236.0,15.06,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Bessemer,BVP Forge Institutional L.P.,2023,Core technology,high,20000000.0,10177569.0,0.0,13153266.0,17.22,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Bessemer,Bessemer Venture Partners XII,2024,Core technology,high,30000000.0,8692129.0,0.0,8444992.0,-4.53,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Blue Run,"Blue Run Ventures V, LP",2014,Venture / growth,moderate,19005882.0,19005882.0,7050000.0,16243537.0,2.53,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Blue Run,"BRV VI, L.P.",2017,Venture / growth,moderate,19156626.0,13984336.0,727368.0,26283630.0,12.89,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Francisco Partners,"Francisco Partners IV, L.P.",2015,Core technology,high,140000000.0,138075161.0,328461495.0,93505142.0,25.85,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Francisco Partners,"Francisco Partners Agility, L.P.",2017,Core technology,high,50000000.0,44502467.0,171552467.0,49309042.0,82.5,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Francisco Partners,"Francisco Partners V, L.P.",2018,Core technology,high,200000000.0,194100000.0,177483736.0,256184956.0,18.14,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
Francisco Partners,Francisco Partners Agility II,2020,Core technology,high,50000000.0,41800000.0,34255067.0,54883606.0,28.67,2025-06-30,CalSTRS Private Equity Portfolio Performance,https://www.calstrs.com/private-equity-portfolio-performance-table
