Date,Ticker,Portfolio Cost ($mm),Nonaccrual at Cost (%),Source URL
2025-12-31,ARCC,29250.0,1.8,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027685/arccq1-2026exhibit991.htm
2025-12-31,OBDC,16417.779,2.3,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000034/exhibit991-obdcxpressrelea.htm
2025-12-31,FSK,13741.0,5.5,https://www.sec.gov/Archives/edgar/data/1422183/000110465926058250/tm2614112d1_ex99-1.htm
2025-12-31,GBDC,8639.307692,1.3,https://www.sec.gov/Archives/edgar/data/1476765/000147676526000032/gbdcfy2026q2epfinal.htm
2025-12-31,CION,1942.096,4.32,https://www.cionbdc.com/resources/
2026-03-31,ARCC,29648.0,2.1,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027685/arccq1-2026exhibit991.htm
2026-03-31,OBDC,15400.23,2.0,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000034/exhibit991-obdcxpressrelea.htm
2026-03-31,FSK,13378.0,8.1,https://www.sec.gov/Archives/edgar/data/1422183/000110465926058250/tm2614112d1_ex99-1.htm
2026-03-31,GBDC,8627.869565,2.3,https://www.sec.gov/Archives/edgar/data/1476765/000147676526000032/gbdcfy2026q2epfinal.htm
2026-03-31,CION,1964.713,5.35,https://www.cionbdc.com/resources/
