Date,PIK Mean (%),D/E Less Than Zero ($bn),D/E 0-1 ($bn),D/E 1-2 ($bn),D/E 2-5 ($bn),D/E 5+ ($bn),Source,Source URL
2013-12-31,14.8,1178,1523,1373,1542,1704,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2014-12-31,16.8,451,1817,1512,1585,1054,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2015-12-31,18.3,451,1858,1315,1165,854,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2016-12-31,18.6,262,1798,1771,831,736,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2017-12-31,16.5,309,1794,2126,811,577,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2018-12-31,19.5,404,2104,1875,1023,774,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2019-12-31,21.8,392,2250,2581,1357,1013,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2020-12-31,23.1,218,4146,2637,1568,1707,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2021-12-31,24.2,463,5043,2739,3365,3222,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2022-12-31,22.8,402,5519,3933,3528,2854,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2023-12-31,21.1,820,8249,4588,3208,1977,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
2024-12-31,21.1,1039,11249,3857,3921,2887,"SEC Private Fund Statistics, 2025 Q3, Tables 10.4 and 10.6",https://www.sec.gov/files/investment/private-funds-statistics-2025-q3.pdf
