Group,Withdrawal Million Gallons,Consumption Million Gallons,Plants,Records,Grouping,Withdrawal Bgal/day,Consumption Bgal/day
Brackish,4101712.185,30824.217,36,684,Water Type,11.237567630136986,0.0844499095890411
Fresh,35080042.548,801373.708,535,9238,Water Type,96.10970561095891,2.195544405479452
Mixed,2488.1009999999997,469.392,1,12,Water Type,0.00681671506849315,0.0012860054794520549
Other,190644.83200000002,6631.34,18,288,Water Type,0.5223146082191782,0.01816805479452055
Reclaimed,841556.339,71064.929,63,924,Water Type,2.3056338054794523,0.19469843561643838
Saline,5266558.864,23919.936999999998,36,774,Water Type,14.428928394520549,0.06553407397260273
Unknown,0.0,,65,1068,Water Type,0.0,
Discharge,841161.734,70738.61499999999,62,912,Water Source,2.3045526958904112,0.19380442465753422
Ground,316177.2789999999,76683.888,119,1824,Water Source,0.8662391205479449,0.21009284383561647
Mixed,2917.2309999999998,835.097,2,24,Water Source,0.007992413698630137,0.00228793698630137
Other,252804.971,15081.917,29,402,Water Source,0.6926163589041096,0.041320320547945204
Surface,44069941.654,770944.0059999998,479,8758,Water Source,120.73956617534246,2.1121753589041092
Unknown,0.0,,65,1068,Water Source,0.0,
Closed,12914978.189999998,806173.5709999999,497,8062,Cooling System Type,35.383501890410955,2.208694715068493
Dry/Hybrid,2301.1139999999996,1914.1180000000002,76,1212,Cooling System Type,0.006304421917808218,0.00524415890410959
Mix,100738.56,4232.885,12,144,Cooling System Type,0.27599605479452055,0.011596945205479452
Open,29909072.206,73711.18400000001,173,3402,Cooling System Type,81.94266357808219,0.20194844931506853
Other,2555912.799,48251.765,12,168,Cooling System Type,7.002500819178082,0.13219661643835617
AL,1783653.993,28143.698,15,264,State,4.88672326849315,0.07710602191780822
AR,541326.1799999999,16741.052000000003,15,238,State,1.483085424657534,0.04586589589041097
AZ,165354.56700000004,44397.054000000004,23,432,State,0.4530262109589042,0.12163576438356165
CA,1152319.209,10024.802,41,648,State,3.157038928767123,0.02746521095890411
CO,97297.88700000002,10883.081,12,192,State,0.2665695534246576,0.029816660273972603
CT,759834.7540000001,1225.2050000000002,10,192,State,2.081739052054795,0.0033567260273972607
DE,144704.83399999997,13000.875,5,84,State,0.3964515999999999,0.03561883561643835
FL,3963778.971,58930.409,38,636,State,10.85966841369863,0.16145317534246575
GA,106041.394,50769.867,15,300,State,0.29052436712328766,0.13909552602739725
HI,332317.462,,2,48,State,0.9104588,
IA,415532.7169999999,4899.378000000001,14,228,State,1.1384457999999997,0.013422953424657536
ID,6010.224,583.0799999999999,3,36,State,0.01646636712328767,0.0015974794520547944
IL,3484974.013,67358.428,21,299,State,9.547874008219178,0.18454363835616439
IN,1904309.368,47029.58,21,396,State,5.217285939726027,0.12884816438356164
KS,376710.437,15850.359999999999,10,132,State,1.0320833890410959,0.04342564383561644
KY,138786.256,16457.675000000003,13,252,State,0.38023631780821915,0.04508952054794521
LA,1244324.515,30065.162,26,486,State,3.4091082602739724,0.08237030684931507
MA,3857.364,332.005,13,204,State,0.010568120547945205,0.0009096027397260274
MD,1287290.869,2910.9179999999997,9,150,State,3.526824298630137,0.007975117808219178
ME,4283.915,2137.891,5,96,State,0.011736753424657534,0.005857235616438357
MI,2000164.0920000002,43990.848999999995,14,192,State,5.479901621917809,0.12052287397260272
MN,452816.19700000004,15334.941,13,180,State,1.2405923205479452,0.04201353698630137
MO,1592604.3530000001,14338.426,14,308,State,4.363299597260275,0.03928335890410959
MS,172722.09,22506.907,16,240,State,0.47321120547945206,0.061662758904109584
MT,5266.129,5266.129,2,36,State,0.014427750684931507,0.014427750684931507
NC,2808195.5300000003,16164.839,18,345,State,7.693686383561644,0.0442872301369863
ND,258758.55500000002,8303.778999999999,6,108,State,0.7089275479452055,0.022750079452054792
NE,823489.8899999999,4375.656,9,228,State,2.2561366849315068,0.011988098630136987
NH,215543.66999999998,915.946,6,108,State,0.590530602739726,0.002509441095890411
NJ,969464.016,8438.198,12,156,State,2.6560657972602737,0.023118350684931507
NM,9217.647,8684.225999999999,8,156,State,0.025253827397260276,0.0237924
NV,19600.658,1563.062,12,192,State,0.05370043287671233,0.004282361643835616
NY,1314082.488,7966.371,26,612,State,3.6002259945205477,0.02182567397260274
OH,846745.322,37690.212,19,300,State,2.319850197260274,0.10326085479452055
OK,448533.90099999995,25187.463000000003,21,420,State,1.2288600027397258,0.06900674794520549
OR,5005.5650000000005,4002.0099999999993,7,84,State,0.013713876712328769,0.010964410958904108
PA,1097330.543,65604.717,38,592,State,3.006385049315069,0.1797389506849315
RI,56498.407999999996,682.588,3,60,State,0.15479015890410958,0.001870104109589041
SC,1838348.54,23050.722,17,312,State,5.036571342465754,0.06315266301369864
SD,65.64699999999999,1028.644,2,24,State,0.00017985479452054792,0.0028182027397260275
TN,2003318.5289999999,22326.889,9,108,State,5.488543915068493,0.061169558904109585
TX,7304043.186,114679.492,96,1716,State,20.01107722191781,0.31419038904109586
UT,11418.381000000001,11027.481,7,168,State,0.03128323561643836,0.030212276712328765
VA,1528318.068,3662.0599999999995,18,276,State,4.187172789041096,0.01003304109589041
WA,15447.546000000002,11666.339,8,96,State,0.04232204383561644,0.03196257260273973
WI,1342027.935,8754.008000000002,16,274,State,3.676788863013699,0.02398358356164384
WV,367553.0850000001,13903.681,9,180,State,1.0069947534246577,0.03809227671232877
WY,63713.969000000005,11427.368000000002,7,204,State,0.1745588191780822,0.03130785753424658
