Geography,Use Category,Total Withdrawal Mgal/d,Fresh Groundwater Mgal/d,Saline Groundwater Mgal/d,Fresh Surface Water Mgal/d,Saline Surface Water Mgal/d,Component Sum Mgal/d,Residual Mgal/d
AK,public_supply,99.17999999999999,37.83,0.0,61.34999999999999,0.0,99.17999999999998,1.4210854715202004e-14
AK,domestic_self_supply,11.419999999999998,9.83,0.0,1.5900000000000003,0.0,11.42,-1.7763568394002505e-15
AK,industrial_self_supply,10.18,6.7,0.0,1.6500000000000001,1.83,10.18,0.0
AK,irrigation,1.52,1.5,0.0,0.02,0.0,1.52,0.0
AK,livestock,0.13,0.04,0.0,0.09000000000000001,0.0,0.13,0.0
AK,aquaculture,409.59000000000003,169.25,0.0,240.34,0.0,409.59000000000003,0.0
AK,mining,166.98000000000002,0.0,89.19,36.44,41.35,166.98,2.842170943040401e-14
AK,thermoelectric_power,66.71000000000001,0.63,0.0,66.08,0.0,66.71,1.4210854715202004e-14
AL,public_supply,761.5299999999999,271.91,0.0,489.62,0.0,761.53,-1.1368683772161603e-13
AL,domestic_self_supply,36.68000000000001,36.68000000000001,0.0,0.0,0.0,36.68000000000001,0.0
AL,industrial_self_supply,493.81,32.66,0.0,461.15,0.0,493.80999999999995,5.684341886080802e-14
AL,irrigation,222.60999999999999,98.77000000000001,0.0,123.84000000000002,0.0,222.61,-2.842170943040401e-14
AL,livestock,26.21,11.540000000000003,0.0,14.670000000000002,0.0,26.210000000000004,-3.552713678800501e-15
AL,aquaculture,49.42000000000001,27.25,0.0,22.17,0.0,49.42,7.105427357601002e-15
AL,mining,30.22,21.77,0.0,8.450000000000001,0.0,30.22,0.0
AL,thermoelectric_power,6626.78,0.0,0.0,6626.78,0.0,6626.78,0.0
AR,public_supply,363.06,94.22,0.0,268.84000000000003,0.0,363.06000000000006,-5.684341886080802e-14
AR,domestic_self_supply,12.849999999999998,12.849999999999998,0.0,0.0,0.0,12.849999999999998,0.0
AR,industrial_self_supply,156.93,29.520000000000003,0.0,127.41000000000001,0.0,156.93,0.0
AR,irrigation,11566.369999999999,9279.14,0.0,2287.2299999999996,0.0,11566.369999999999,0.0
AR,livestock,34.099999999999994,13.599999999999998,0.0,20.5,0.0,34.099999999999994,0.0
AR,aquaculture,251.32000000000002,152.43,0.0,98.89,0.0,251.32,2.842170943040401e-14
AR,mining,3.07,0.13999999999999999,0.0,2.93,0.0,3.0700000000000003,-4.440892098500626e-16
AR,thermoelectric_power,1444.85,3.13,0.0,1441.72,0.0,1444.8500000000001,-2.2737367544323206e-13
AZ,public_supply,1195.15,568.9199999999998,0.0,626.23,0.0,1195.1499999999999,2.2737367544323206e-13
AZ,domestic_self_supply,24.000000000000004,24.000000000000004,0.0,0.0,0.0,24.000000000000004,0.0
AZ,industrial_self_supply,6.12,6.12,0.0,0.0,0.0,6.12,0.0
AZ,irrigation,4528.879999999999,1971.24,0.0,2557.6400000000003,0.0,4528.88,-9.094947017729282e-13
AZ,livestock,38.87,38.87,0.0,0.0,0.0,38.87,0.0
AZ,aquaculture,34.519999999999996,23.81,0.0,10.71,0.0,34.519999999999996,0.0
AZ,mining,68.33999999999999,68.33999999999999,0.0,0.0,0.0,68.33999999999999,0.0
AZ,thermoelectric_power,83.46000000000001,57.71,0.0,25.75,0.0,83.46000000000001,0.0
