Date,Value,Series ID,Series,Metric,Unit,Source
2020-01-01,2228.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-02-01,2234.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-03-01,2219.8,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-04-01,2165.8,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-05-01,2166.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-06-01,2167.7,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-07-01,2167.2,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-08-01,2180.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-09-01,2191.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-10-01,2202.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-11-01,2208.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2020-12-01,2222.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-01-01,2232.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-02-01,2249.0,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-03-01,2260.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-04-01,2272.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-05-01,2279.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-06-01,2296.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-07-01,2319.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-08-01,2332.0,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-09-01,2348.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-10-01,2361.2,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-11-01,2377.8,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2021-12-01,2389.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-01-01,2406.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-02-01,2413.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-03-01,2436.5,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-04-01,2441.6,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-05-01,2453.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-06-01,2458.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-07-01,2457.1,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-08-01,2462.0,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-09-01,2469.3,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-10-01,2479.0,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
2022-11-01,2482.9,CES6054150001,Computer systems design,Employment,thousand jobs,BLS Current Employment Statistics
