Date,Series,Value,Series ID,Metric,Unit,Source
2020-01-01,Construction,299.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-02-01,Construction,291.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-03-01,Construction,226.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-04-01,Construction,211.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-05-01,Construction,283.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-06-01,Construction,228.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-07-01,Construction,306.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-08-01,Construction,254.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-09-01,Construction,227.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-10-01,Construction,242.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-11-01,Construction,260.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-12-01,Construction,253.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-01-01,Construction,309.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-02-01,Construction,249.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-03-01,Construction,348.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-04-01,Construction,319.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-05-01,Construction,301.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-06-01,Construction,328.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-07-01,Construction,376.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-08-01,Construction,392.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-09-01,Construction,359.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-10-01,Construction,397.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-11-01,Construction,379.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-12-01,Construction,377.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-01-01,Construction,430.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-02-01,Construction,367.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-03-01,Construction,457.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-04-01,Construction,440.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-05-01,Construction,411.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-06-01,Construction,399.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-07-01,Construction,383.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-08-01,Construction,351.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-09-01,Construction,442.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-10-01,Construction,394.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-11-01,Construction,322.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-12-01,Construction,395.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-01-01,Construction,309.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-02-01,Construction,362.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-03-01,Construction,301.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-04-01,Construction,382.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-05-01,Construction,381.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-06-01,Construction,417.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-07-01,Construction,377.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-08-01,Construction,404.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-09-01,Construction,428.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-10-01,Construction,420.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-11-01,Construction,444.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-12-01,Construction,411.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-01-01,Construction,413.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-02-01,Construction,394.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-03-01,Construction,342.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-04-01,Construction,329.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-05-01,Construction,389.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-06-01,Construction,288.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-07-01,Construction,249.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-08-01,Construction,342.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-09-01,Construction,246.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-10-01,Construction,241.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-11-01,Construction,233.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-12-01,Construction,135.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-01-01,Construction,232.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-02-01,Construction,255.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-03-01,Construction,278.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-04-01,Construction,207.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-05-01,Construction,222.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-06-01,Construction,224.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-07-01,Construction,305.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-08-01,Construction,213.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-09-01,Construction,206.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-10-01,Construction,196.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-11-01,Construction,292.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-12-01,Construction,245.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-01-01,Construction,230.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-02-01,Construction,201.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-03-01,Construction,234.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-04-01,Construction,266.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-05-01,Construction,291.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2026-06-01,Construction,305.0,JTS230000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-01-01,Manufacturing,407.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-02-01,Manufacturing,392.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-03-01,Manufacturing,295.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-04-01,Manufacturing,298.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-05-01,Manufacturing,314.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-06-01,Manufacturing,338.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-07-01,Manufacturing,392.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-08-01,Manufacturing,458.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-09-01,Manufacturing,469.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-10-01,Manufacturing,519.0,JTS300000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
