Date,Series,Value,Series ID,Metric,Unit,Source,Attribution boundary
2020-01-01,Construction,5.7,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-02-01,Construction,5.0,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-03-01,Construction,5.0,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-04-01,Construction,3.7,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-05-01,Construction,10.8,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-06-01,Construction,7.3,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-07-01,Construction,5.4,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-08-01,Construction,5.2,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-09-01,Construction,5.2,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-10-01,Construction,5.3,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-11-01,Construction,5.2,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2020-12-01,Construction,5.3,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-01-01,Construction,4.5,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-02-01,Construction,4.9,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-03-01,Construction,5.9,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-04-01,Construction,4.6,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-05-01,Construction,4.3,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-06-01,Construction,4.8,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-07-01,Construction,4.6,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-08-01,Construction,4.9,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-09-01,Construction,4.7,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-10-01,Construction,5.0,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-11-01,Construction,5.9,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2021-12-01,Construction,5.1,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-01-01,Construction,4.2,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-02-01,Construction,5.2,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-03-01,Construction,5.3,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-04-01,Construction,4.6,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
2022-05-01,Construction,4.9,JTS230000000000000HIR,Hires rate,percent of employment,BLS Job Openings and Labor Turnover Survey,"Broad industry labor-flow context; not AI-specific hiring, quitting, or layoffs."
